comment,state_group,region
"comment","state_group","south"
""an average of 80 cents a month  what savings  looks like avocado toast is back on the menu  "","alabama","south"
""i'll believe it when i see it  my bet is this is a distraction from ol' twinkle selling us out in other ways again  "","alabama","south"
""how will alabama power pay their twinkle tribute if they cut our rates by 80 cents a month  "","alabama","south"
""lol  and twinkle has decided to donate her entire salary to needy children    "","alabama","south"
"" 9 a year will buy one starbucks coffee  π "","alabama","south"
""but if i skip that coffee  i can buy a house instead "","alabama","south"
""woohoo  â but only once a month "","alabama","south"
""and yet my high school had a yearly  womanless beauty pageant  fundraiser  "","alabama","south"
""but they cant do shit about alabama powers monopoly or bww's corruption    alabama's elected leadership is a joke in third world countries  "","alabama","south"
""when are we gonna do something to protect kids from clergy  "","alabama","south"
""hey  republicans   whatever happened to smaller government   keeping the government out of everyone's business   yeah  that's what i thought   you were always full of shit  "","alabama","south"
""more  big brother  big government in montgomery   alabamastan "","alabama","south"
""nothing but dogs and ponies  grandstanding on an issue that affects the most minuscule percentage of our population while continuing to sit with their thumbs all the way up to their small intestine on what can possibly be done about school shootings that doesn t involve pissing off their nra bdsm partners  "","alabama","south"
""we can do this but can t figure out medicare expansion with 41 available examples in america  what joke  "","alabama","south"
""all smoke a mirrors to distract the peasants while they steal from us and hoard all the money and power for themselves  there are very few readers in this state so they ve never read any history to see this is as old as civilization  "","alabama","south"
""sooooo what happens when the alabama shakespeare festival theater performs  as you like it      "","alabama","south"
""https   en wikipedia org wiki rosalind  as you like it  "","alabama","south"
""fix the bridges  "","alabama","south"
""i mean  i love the lord too   "","alabama","south"
""but can we focus on why we have such high infant mortality rates  decaying regions  third world poverty levels  crumbling healthcare and education  i mean i think he would want us to fix these issues versus how someone dresses up in their spare time for fun  "","alabama","south"
""glad we got all the other problems solved  we doing good getting this far down the list  "","alabama","south"
""prediction  "","alabama","south"
""the bill passes and is enacted  "","alabama","south"
""an individual sues claiming violation of 1st amendment  "","alabama","south"
""the appeals process takes years and goes through many ups and downs at different levels  "","alabama","south"
""if the law is upheld it it eventually hits the supreme court and the conservative justices rule against alabama because this is a clear violation  "","alabama","south"
""alabama waist time and throws a lot of money out the window  "","alabama","south"
""i grew up watching all of this cross dressing entertainment and never realized that it was all evil and i should have been protected from it    "","alabama","south"
""bob hope various skits "","alabama","south"
""milton berle in various skits  "","alabama","south"
""tyler perry as madea "","alabama","south"
""eddie murphy as various female characters in the  nutty professor  series "","alabama","south"
""lucille ball as charlie chaplain and other skits "","alabama","south"
""charlie chapman in  a woman  "","alabama","south"
""hillary swank in boys don t cry   "","alabama","south"
""julie andrews in victor victoria "","alabama","south"
""glen close in albert nobbs "","alabama","south"
""gwynneth paltrow in shakespeare in love "","alabama","south"
""dustin hoffman as tootsie "","alabama","south"
"" robin williams as  mrs  doubtfire  "","alabama","south"
""jack lemon and tony curtis in  some like it hot "","alabama","south"
""tom hanks and peter scolari in  bosom buddies   "","alabama","south"
""that s what i came up with in just an hour or so  i  ll bet some of you can ad more to the list  "","alabama","south"
""what a complete crock of shit and waste of taxpayers money  the circus is already beginning and the main clown isn t even in office yet  you give al a bad name "","alabama","south"
""it s not the drag queens who are molesting our children or murdering them in school "","alabama","south"
""how s that free speech thing working out for ya alabama  "","alabama","south"
""anything for them to slowly allow for infringement upon all of our first amendment rights  our elected leaders trying to say  you can't have certain  type  of events at public establishments  is just ridiculous  you gonna outlaw runway competitions too  "","alabama","south"
""how is this even enforceable  "","alabama","south"
""apparently  these are  men  who are not secure within themselves  "","alabama","south"
""the alabama legislature is filled with the corrupt and the inept i hate it  "","alabama","south"
""i m kinda glad it s a  parental consent  rather than an outright ban  though this would encourage social isolation with kids in conservative households  and that s not a good thing if you want children to become better than their parents intellectually speaking  "","alabama","south"
"" hb 67  filed by house majority leader scott stadthagen  r hartselle  would ban public k 12 schools or libraries from presenting or sponsoring drag performances in the presence of a minor without consent of a parent or legal guardian  the bill would also prevent state operated or funded programs from allowing minors to share multi occupancy bathrooms  changing facilities or sleeping quarters unless they are family and have parental or guardian consent   "","alabama","south"
""how can you be offended by such   "","alabama","south"
""quit being a victim  "","alabama","south"
""reasonable  should be restricted in the same way burlesque and strip performances are restricted  "","alabama","south"
""good  "","alabama","south"
"" removed  "","alabama","south"
""when i was stationed in virginia beach  the eo office did an annual event called  walk a mile in her shoes    or something like that   "","alabama","south"
""it was a simple concept get a bunch of dudes to wear women s shoes and walk one mile  that s it  now picture the most muscular manly men imaginable wearing their military uniforms donning pumps and stiletto heels and trying to finish a full lap of the route  it was probably one of their best attended events every year  "","alabama","south"
""my high school in alabama  so long ago  had a traditional  powder puff football  night every year  the football team  boys  dressed up as a cheerleaders and the cheerleaders  girls  wore football uniforms and it was just good times and good natured hilarity  "","alabama","south"
""back in the late 80s  early 90s  my rural  north alabama  southern baptist  so conservative we were christian nationalists before it was cool  church did a few of these womanless beauty pageants  the preacher was in it  most of the deacons  sunday school teachers  one of them even included the youth group  so teenage boys dressing in women's clothes and parading in front of the church  "","alabama","south"
""we did too  it was called the  a man duh  pageant  "","alabama","south"
""that's what i've been screaming to the void for years "","alabama","south"
""you aren t giving them enough credit  alabama s elected leadership and legislature is a joke in all countries   "","alabama","south"
""number one in providing solutions for problems that do not exist except in the brainwashed minds that listen to garbage commentary  "","alabama","south"
""what's going on at buffalo wild wings  "","alabama","south"
""that s not really important  because it s not really about children or their protection  it s about control  "","alabama","south"
""our maga  legislators  are too busy trying to shut down drag performances  like the alabama international dragway outside of gadsden  or the lassiter mountain dragway in mount olive  "","alabama","south"
"" removed  "","alabama","south"
""does that make it right  "","alabama","south"
"" give them bread and circuses and they will never revolt   decimus iunius iuvenalis  early 2nd century ad "","alabama","south"
""republicans aren't for medicaid expansion  "","alabama","south"
""they are for bigotry  hate and censorship  "","alabama","south"
