comment,state_group,region
"comment","state_group","west"
""such a heartbreaking news   sending prayers to the families and hoping the others are found soon "","alaska","west"
""eternal father  strong to save   "","alaska","west"
""whose arm hath bound the restless wave   "","alaska","west"
""who bidd st the mighty ocean deep  "","alaska","west"
""its own appointed limits keep   "","alaska","west"
""o hear us when we cry to thee  "","alaska","west"
""for those in peril on the sea  "","alaska","west"
""damn i hadn t heard about that  so sad  that was my go to spot for halibut when i lived in juneau  the water over there can get wicked fast  icy straight and chatham mix it up and things get dicey  my heart goes out to the crew s families  "","alaska","west"
"" removed  "","alaska","west"
""it sounds like they also ignored weather warnings for the area  "","alaska","west"
""the families  friends and the commercial fishing industry  you obviously care enough to click this post and type a comment  "","alaska","west"
""you are a bot so shut up "","alaska","west"
""not a link to it  but a promo from a couple years ago   "","alaska","west"
""https   youtu be opbr3rrewtq feature shared "","alaska","west"
""https   www atuxforever net  "","alaska","west"
""well they don't have a web page but a simple google search shows numerous references to it so i don't know why the question about spelling  here's some financial records "","alaska","west"
"" https   www causeiq com organizations atux forever restoring attuans freedom 843695943   https   www causeiq com organizations atux forever restoring attuans freedom 843695943   "","alaska","west"
""exactly what i was looking for   very strange yahoo or google did not find it  "","alaska","west"
""i questioned the spelling because yahoo  google and firefox could not find it   worse they did not offer alternate spellings  "","alaska","west"
""i literally googled 'atux forever' and it came up with numerous listings  mind you they were a lot of repeats of the same info  "","alaska","west"
""the fund is experiencing disappointing returns in public equities the stock markets after the fund s investment strategy that expected poor performance in big tech companies while relying on other value stocks proved to be  the exact opposite of how the market performed   "","alaska","west"
""https   www akmemo com p the alaska permanent fund is at risk "","alaska","west"
""i ve been reading about the travesty of pfd fund mismanagement for roughly the entire time i ve lived in alaska  is there anything that we can actually do  where do i send my email  who do i annoy via phone  "","alaska","west"
""seems like a  250k salary commiserate with the funds return would be a better idea   100  return gets him a 500k salary    5  loss should have earned him a 5  loss of salary  "","alaska","west"
"" last year  the fund s board voted unanimously to amend its charter to conduct the executive director s performance review verbally and in private to prevent access from public records requests  "","alaska","west"
""board members said at the time giving evaluations in executive session would allow them to give honest feedback   "","alaska","west"
""right  because not allowing the public to know what s going on behind close doors just screams honesty and public trust  "","alaska","west"
""sounds like someone needs to work harder  "","alaska","west"
""i did way better than the permanent fund despite  not  being heavily invested in tech stocks  "","alaska","west"
"" you lost us money  here's a raise that you neither deserve nor need  it's also more than twice the percentage points any normie in the workforce gets because fuck the citizens  i guess   "","alaska","west"
""fy 2024 the management and profit sharing performance fees paid by the permanent fund totaled nearly  800 million  or almost 1  for a year in which the fund s overall return fell below all three benchmarks "","alaska","west"
""https   alaskalandmine com landmines brad keithleys chart of the week our monthly permanent fund charts  "","alaska","west"
""i had a side account during covid of half a million dollars heavily in fanng  gained 27  for 2022   "","alaska","west"
""i ll not saying a democrat governor would turn things around but you ll also have a billion dollars in ferry dollars just sitting in a bank with the ferry system rusting away in seak  the current system isn t working and what worse is it s being rewarded  "","alaska","west"
""total fund value as of october 31  2024  79 010 400 000 rate of return fytd as of october 31  2024  2 56  https   apfc org  "","alaska","west"
""this is in a bull market "","alaska","west"
""who approved the raise  "","alaska","west"
""with that performance  mitchell must be a republican  "","alaska","west"
""and we still can t get  3k dividends becaaaause        ” "","alaska","west"
""i must be missing something  looking at their top 50 holdings it all looks good  apple  nvda  msft  meta  tsmc  etc   "","alaska","west"
""not understanding why their ytd performance could be so low "","alaska","west"
""10  raise for poor performance while the average earners are supposed to be thankful for a job and 2 3  raises   makes perfect sense for the ceo class "","alaska","west"
""it s all about grifting your way to more money with these people  i m sure once they ve bankrupted the fund he will land on his feet  these parasites are nothing if not resilient "","alaska","west"
""he should be paid based on the funds performance  this douche bag makes too much for screwing things up   the people investing are not doing a good job and need to be fired  replaced with a decent human being and someone who actually cares about alaska  "","alaska","west"
""we can thank governor dunleavy for this  he packed the board with his cronies to terminate the previous executive director  angela rodell  who rejected his unsustainable 5k pfd campaign promises   "","alaska","west"
""he s done absolutely nothing for our great state  and them losing our money in a bull market is the fucking cherry on top  "","alaska","west"
""love all the arm chair quarterbacks here  fund is designed to have reduced market impact over the long run to ensure survivability  for all you saying  well i m up x  ytd  well how did you do in 2022   fund was down 1  when the s p was down 18   need to balance this across all market environments  not just bull markets   "","alaska","west"
""could argue they have not had the best experience with private equity but they re not alone  also  given their size  they re quite limited on how much they can have with a manager that actually moves the needle  they re going to be over diversified across all asset classes unfortunately  "","alaska","west"
""lost money in a buil market  fire these fools  "","alaska","west"
""your state reps  and the gov   not that most of them will care  but it could make you feel better  "","alaska","west"
""nothing it s already captured by billionaires who are using it to funnel into their shorts  "","alaska","west"
""lol  it was being mismanaged a decade ago  we have moved on to active embezzlement  "","alaska","west"
""buy a bunch of stock a with pension funds front running insider news you already have and short it with your own hedge fund cash  easy wealth transfer from the retarded peasants   man these peasants let us control their money  what idiots   "","alaska","west"
""that's what randy told ted "","alaska","west"
""sounds like a job for the plumber  "","alaska","west"
""i get better rates in my savings account   this is sad   i'll be ceo lol "","alaska","west"
""considering people like dunleavy  and republicans want to kill it  my gut feeling is either sabatoge or siphoning money away  "","alaska","west"
""that part is the absolute insane part to me   my worst performer this year was 11 15   and best was 60   "","alaska","west"
""even an index fund would have done better  "","alaska","west"
""i had an old samoan guy who was a co worker at one of my older jobs  when i asked him  why the hell did you come to alaska  samoa seems like a paradise   he just told me that    "","alaska","west"
"" nice beaches don't get you nice trucks  "","alaska","west"
""ironic  "","alaska","west"
