comment,state_group,region
"comment","state_group","midwest"
""thank you for your pictures "","kansas","midwest"
""i'm an archaeologist and had to do some old school deep dives into some very obscure kansas newspapers from the 1800s a few years back  "","kansas","midwest"
""things got   wild   in kansas newspapers back in the day  especially the more rural ones  everything from short stories from france to international news to local grain and beef prices to some not great ads featuring some not great stereotypes to super hot local gossip  "","kansas","midwest"
""kansas was also a hotbed of progressive socialist union pro labor movements  mostly due to the railroad  and also farmers'  uprisings  as well  obama did his big labor speech in osawatomie  kansas primarily due to the one teddy roosevelt did in the same town somewhat due to the john brown connection  "","kansas","midwest"
""on top of that  there was the big anti slavery push before the civil war  bleeding kansas  and then a bunch of former enslaved people  exodusters  moving en masse into the state as it was considered almost a haven  don't get me wrong  kansas was still very racist  but it was way  way less racist than most other states  "","kansas","midwest"
""so this feels right on brand on what was getting published at the time  "","kansas","midwest"
""how could i get anything done without breasting boobily down the stairs "","kansas","midwest"
""so painful  not to have feelings  "","kansas","midwest"
""how could i possibly mod with such a disorder  "","kansas","midwest"
""as far as the price  i'm not your expert   what i do know is kansas law permits you to sign the contract  pay the deposit  and then back out of the agreement as long as you haven't yet accepted possession of the property  typically interpreted as accepting the keys    so  you could take that as advice     but i wouldn't recommend it  "","kansas","midwest"
""not a lawyer  i just learned by doing with kansas residential tenant law  "","kansas","midwest"
""that doesn't sound bad for river market  but goddamn shit has gotten expensive  that's nearly double my mortgage "","kansas","midwest"
""what city area are you looking to move to   "","kansas","midwest"
""for ks side of the kc metro area we considered about  1 sqft a good deal  before we left kc we were paying  1 450 for about 2 100sqft  "","kansas","midwest"
""imo  this still seems high even for kcmo  assuming that's where you're talking   but i guess it's ultimately depends on what you're looking for  "","kansas","midwest"
""thanks i'll take random info from a stranger on the internet  haha appreciate it though "","kansas","midwest"
""it s fucking depressing  guess i should have been 6 years younger and had 50k saved up in 2022 to get a big house at 2 5   at this rate i ll be able to afford barely a shack  and i make 90k "","kansas","midwest"
""what a bunch of morons at esu  "","kansas","midwest"
""lol  pretty much all of his complaints sound like free market economics  while his solution is the government stepping in and mandating more government control  "","kansas","midwest"
""and all backed by supposed small government republican ty masterson    "","kansas","midwest"
""wait until somebody tells president hush that there are already other kansas colleges that offer welding  nursing  etc programs across the state  "","kansas","midwest"
""kinda shot themselves in the foot when they fired pretty much the entire english department  all but three   most of the history department  and a chunk of the biology department in order to  shift priority  to more tech trade related fields  "","kansas","midwest"
""emporia was known as the teacher college  but now it s just a shell of its former self  "","kansas","midwest"
""it s sad watching esu flounder like this  "","kansas","midwest"
""normal koch behavior  blame someone else  "","kansas","midwest"
""so they bought a college  gutted it   and now it's not being competitive  sounds like their plan is working  "","kansas","midwest"
""his former boss is charles koch who is the uber libertarian  koch says he believes in free makets and free enterprise but this cat wants a monopoly  "","kansas","midwest"
