comment,state_group,region
"comment","state_group","south"
""i d recommend red river gorge or cumberland falls  the pinnacles in berea are nice too if you want a hike with a great view waiting on you  red river gorge is probably the top destination in the state though for nature lovers  "","kentucky","south"
""falls of the ohio   it s free  it s across from downtown  it s beautiful  "","kentucky","south"
""mammoth cave "","kentucky","south"
""if you have the money  red river gorge   look for a cabin called red point   it's at the very end of a cabin development area that sits in a cliff   i've stayed here multiple times and never regret it   the views are amazing  "","kentucky","south"
""bourbon trail  bardstown  lexington horse farms "","kentucky","south"
""shaker village is amazing and near bardstown and has a wonderful farm to table restaurant with gluten and dairy free options  if you go to the red river gorge  miguel s and the rock house both have good gluten free and dairy free choices on the menu as well  and very yummy ones  i might add   "","kentucky","south"
""there is a small place in brooksville that has tree houses  a bus  and some other cool setups that can be rented out  "","kentucky","south"
""treehouse rental adventures   earthjoy https   g co kgs uga3kqq   "","kentucky","south"
""in the area  is augusta and maysville  river towns   within an hour is newport  levee and aquarium   cincinnati  and many nature oriented areas  "","kentucky","south"
""louisville is a fabulous restaurant town  bernheim forest and yew dell offer nice nature get aways  speed museum  derby museum  ali center  louisville slugger museum if you want indoor activities  "","kentucky","south"
""one of the log cabins at cumberland falls   built in the '30s by the ccc  they feature porches overlooking the river and stone fireplaces  buy wood in the lodge   but are updated with kitchens and bathrooms   plenty of hiking options   very cozy and romantic   while there  visit the falls  of course  maybe catch the moonbow   a room at boone tavern would also be great   eat there for one meal  at papaleno's for another   walk the square and visit the art shops  visit the artisan center for handicrafts  they serve a great burger there   hike at the nearby pinnacles  "","kentucky","south"
""bardstown is a really nice town especially for an old soul  you can do the antique stores in town  you re right on the bourbon trail to do distillery tours  there s a small family owned winery there that is wonderful  you ve got the stephen foster story and my old kentucky home  there s the dinner train as well  the town square has a lot of great shops and is all walkable  there s a place called the old talbott tavern which is one of the oldest restaurants stage coach stops with a lot of good history and they have rooms for rent as well  "","kentucky","south"
""churchill downs "","kentucky","south"
""mammoth cave national park  largest cave system in the world  definitely worth seeing if you re staying semi close  bowling green isn t far from there which has more restaurants per capita than any city in the us other than vegas  "","kentucky","south"
""you do have to book tour tickets in advance cuz they fill up quick  at least in the summer  "","kentucky","south"
""cynthiana  if you re a walking dead fan  it has the largest walking dead mural  and the most haunted theater in kentucky  "","kentucky","south"
""all excellent suggestions  especially berea  the boone tavern inn is lovely   "","kentucky","south"
"" removed  "","kentucky","south"
""there s the kentucky reptile museum near natural bridge as well   "","kentucky","south"
""rattlesnakes  copperheads  black mamba  king cobra  gaboon vipers  russell s vipers  horned vipers  pythons  and a ton more  "","kentucky","south"
""it s in louisville "","kentucky","south"
""is it still full access  its been several years since i've been but you were able to walk right up to the back side of the water gates when they were closed  very unique place  dont know anywhere else that you could do that "","kentucky","south"
""perfect   thanks so much   "","kentucky","south"
""you had me at antiques    i ll be suggesting this area to the wife £ thanks   "","kentucky","south"
""oh yeah  ky is a gorgeous gorgeous state  it only costs us being bored at all times  but i like it  "","kentucky","south"
""just depends on water level on what you can do  "","kentucky","south"
""alright if you love antiques check out glendale ky too which is just down the way a bit from bardstown  there s at least five in the little town and they re all awesome and there s the cutest little coffee shop there too  and the whistle stop restaurant is a staple  "","kentucky","south"
""well i ask because in the last 5 years they have really cut access to a lot of places  it use to be really popular for people to fish off the the newburgh lock   dam  but during covid they actually blocked off the stairs  fenced it off and added cameras so that no one could go out there anymore  to my knowledge no one has ever drowned there  its for security  i didnt know if they gave the same treatment to falls of the ohio and blocked access to the river bed and back of the dam "","kentucky","south"
""you likely saw a large bobcat  "","kentucky","south"
""bobcats are found in almost every county in ky  there are pics of large ones  caught on wildlife cams  that look like mountain lions but confirmed to be bobcats  "","kentucky","south"
""it s uncommon for them to be hit by a vehicle but there are definitely reports of it happening in ky  "","kentucky","south"
""i personally believe there are mountain lions  cougars  not the human type  lol  in kentucky   i've seen paw prints in the mud and snow on hiking trails that can't be large dogs or bobcats  "","kentucky","south"
""some people may know this others may not  there is an actual thriving mountain lion population in western tennessee in between nashville and kentucky  the tennessee wildlife people have actually captured some of them and even done dna tests on them  they are from one of the dakota's  is it possible that some of the cubs get displaced by the adults to find their own territory  absolutely  are they here now  who knows   tennessee department of natural resources mountain lion in tennessee   https   www tn gov twra wildlife mammals large cougars html  "","kentucky","south"
""i was in that area also and saw the same thing  i didn t get a really good look at it and thought it was a large deer  we live in eastern ky  i was on a  county road a few years ago and a mountain lion came boogieing across the road  it beat me across the road but i did clip its tail  we also have bears around in our area as well  "","kentucky","south"
""several years ago we saw a mountain lion cross 75 south right past the sadieville exit  it was crossing the highway no chance of mistaken identity  definitely without a doubt a mountain lion  "","kentucky","south"
""mountain lions cougars are known for having huge territory ranges and will travel long distances to find and claim new territory  it s not that shocking to think one would make its way out to nky central ky  i remember multiple black bear sightings off weaver rd in florence  ky maybe a decade ago  i ve physically seen bobcats in union rabbit hash area  these animals are definitely out there  "","kentucky","south"
""interesting  i would have turned around "","kentucky","south"
""where on 75  near which exit  "","kentucky","south"
""yes there are mountain lions in kentucky  a friend of mine was down at an illegal dump and saw a little tan phase one and it's black phase momma rooting through trash  they weren't scared away by him stopping the truck but seemed to be hanging around to see if he would dump anything good   he probably wisely decided to drive on  he came back later and got some pictures of the tracks  pre cell phone days   "","kentucky","south"
""absolutely saw this too  it had a long tail and light tan in color   thought it was a lion too  was on 75  "","kentucky","south"
""but the question is was it here legally  or illegally  "","kentucky","south"
""was it a sea lion  or regular lion  "","kentucky","south"
""absolutely you saw a lion  not a mountain lion   an actual african lion  because  despite what anyone here says and despite what f w will tell you  african lions are native to kentucky  there is absolutely no other animal it could've been  i mean  you say it had a poof on the end of it's tail  soooo   there's no further evidence needed  "","kentucky","south"
""people will say  mountain lion  even though one hasn't been seen in kentucky in over 100 years  people will say bobcats don't go that close to roads  but anyone driving 71 will tell you that there are hundreds crossing daily   the construction dudes were feeding them  some were taken home as pets  "","kentucky","south"
""people will say it was just a dog or a deer that was bloated and mutilated after being struck by a truck and was completely unidentifiable as such  but they're wrong because you  and your wife  are extremely knowledgeable about animals and roadkill  i think you mentioned you're a zoologist   so those people are just wrong  "","kentucky","south"
""don't listen to the haters  you saw an african lion  and thanks to climate change it's just going to get worse  a friend of mine nearly hit a giraffe on the gene snyder last week  i said he was crazy  but then he took me down near the kentucky river and showed me hoof prints in the sand that were definitely giraffe footprints  "","kentucky","south"
""hear me out  worked at a summer camp in eastern ky  right next to daniel boone forest and rrg  15 years ago  me and several friends who are very familiar with being in the woods heard several shrieks that sounded what i can only describe as a woman being harmed  it was almost dusk but we searched the area thoroughly and couldn t find anyone or any sign of human activity  one of our staffers had experience out west  and swore to us we d heard a mountain lion  he actually tried to convince us not to do a search after the  screams  because he could tell it was a cougar  we came back to the camp office and he pulled up cougar shriek sounds online and it was exactly the same  we reported it to kdfwr and they laughed at us  "","kentucky","south"
""last week  a cougar was sighted in michigan  wayyy outside of where they re supposed to be  we ve seen armadillos and all kinds of critters moving this way with the changing climate the last two decades  the bear population has exploded  i even saw one in goshen 2 years ago and kdfwr confirmed they were there   "","kentucky","south"
""feel free to compare this to the pope lick monster if you want  but i have a feeling we re gonna start seeing legit mountain lions in ky soon enough  i think they ve been here in isolated spots for a little while now  "","kentucky","south"
""i know they are around but i ve never seen one that far north  this musta been a big one "","kentucky","south"
""it did not look like a bobcat it had a poof on the end of its tail and appeared more yellowish in color  we're big animal lovers and both immediately said was that a lion  "","kentucky","south"
""yes  and after doing some research  there have been many claims of mountain lion sightings in kentucky  "","kentucky","south"
""my neighbor caught a mountain lion in his game camera here in eastern ky  yes  the kyfw dept laughs at anyone who says that they see them  but there are one or two around here  "","kentucky","south"
""hunters have thousands upon thousands of trail cams throughout the state and never have any pictures of mountain lions  "","kentucky","south"
""i want to say about 10 minutes before crittenden  heading south   we were traveling from cincinnati to red river gorge  maybe 20 30 minutes into the drive  we also spent some time on 275 but think it was 75  my wife and i were talking and both stopped to say  was that a lion   we say what appeared to be a lion head  i don't recall much of a main but we remember seeing the large body and a tail with a poof on the end  it was very strange  "","kentucky","south"
""mountain lions aren t black  that s a panther  "","kentucky","south"
