comment,state_group,region
"comment","state_group","south"
""what kind of ai generated shit is this  "","louisiana","south"
""weird humans aren't on the list   this is a miserable video      "","louisiana","south"
""fun fact   cotton mouths are not more likely to bite you than any other snake   just don't step on em  "","louisiana","south"
""thanks for saving me a click "","louisiana","south"
""second this  "","louisiana","south"
""i came to say the same thing   not a single image came from louisiana  "","louisiana","south"
""sounds like they re doing training at tiger stadium  you may hear sounds similar to gunfire "","louisiana","south"
""yes  i know  "","louisiana","south"
""law enforcement is doing training in that area   there may be loud gunfire like noises    "","louisiana","south"
""you may see safety officers in the area   "","louisiana","south"
""i'd suggest remaining calm  "","louisiana","south"
""hope you re not taking a final in reading comprehension "","louisiana","south"
""can someone go wheel a tiger around during this just for the hell of it  "","louisiana","south"
""training for the what if factor      "","louisiana","south"
""super bowl is in nola this year  perhaps its tied into that purpose  "","louisiana","south"
""they do it often one morning i saw a swat team slide down a rope outside my window  "","louisiana","south"
""blanks really aren t loud  most people will probably not hear anything  even standing outside the stadium you aren t going to hear much  "","louisiana","south"
""so now if there is actual gunfire it will get ignored  "","louisiana","south"
""active shooter training to allow them to train how to react in the event a real emergency should occur in a stadium environment  just a guess on my part "","louisiana","south"
""did you even read the email  "","louisiana","south"
""i don t think there s any ulterior motive  seems pretty self explanatory "","louisiana","south"
""this isn't the first time they've done this in the stadium  nothing new here  "","louisiana","south"
""it is the start of jeff's takeover of lsu "","louisiana","south"
""lsu been growing weed for decades  ain t no telling what s going on "","louisiana","south"
""training for trump's immigrant round up boogaloo  louisiana wants to be ready to do what they've wanted for years  plus the added bonus of not paying their employees when they get rounded up  "","louisiana","south"
""i swear to fuck  universities are the vichy french  "","louisiana","south"
""landry is making them do the scene from dark knight rises "","louisiana","south"
""these comments make me never want to post  you guys would have had tomatoes in your pockets back in the old days  ready to fling  "","louisiana","south"
"" deleted  "","louisiana","south"
""'merica is what's going on "","louisiana","south"
""get out  how did you figure that out  "","louisiana","south"
""man  if only they had just put it in the email this simple it wouldn't have confused op  "","louisiana","south"
""nothing to see here   move along  "","louisiana","south"
""bonus points if you traumatize the tiger and yank it out of a fake tiger sanctuary  "","louisiana","south"
""i'm willing to bet it's this also "","louisiana","south"
""nah  they do it every so often  the last one i heard about was around canal and rampart  maybe every 2 years  helps multiple agencies learn how to work together during a large response  "","louisiana","south"
""this is exciting  "","louisiana","south"
""they should be firing chalk rounds  not as loud as gunfire but louder than blanks  "","louisiana","south"
""good bc it's final exam week "","louisiana","south"
""just like 9 11 "","louisiana","south"
""ask stupid questions     "","louisiana","south"
""it says law enforcement  "","louisiana","south"
""im going to fly my video drone over there to make sure "","louisiana","south"
""yeah i just used  blanks  as a general term  there are multiple things they use  i guess i had the old military miles gear in my head  "","louisiana","south"
""it s really not a stupid question tho  reading the email and wanting more details than provided is perfectly reasonable  gunfire in your school isn t just a chill nothing to see here thing  even if it is just blanks or whatever  they could ve provided slightly more information to put the students at ease "","louisiana","south"
""it s possible the sensitivity of the situation warrants less details for safety s sake  "","louisiana","south"
""big shot soda and elmer's chee wees  "","louisiana","south"
""steen s cane syrup  made in abbeville  "","louisiana","south"
""hubig's pies "","louisiana","south"
""i assume you re asking because yall don t live here  i wonder if best stop ships  not like candy but she might like some boudin and hogshead  oh and there s the elmer s stuff  goldbrick  heavenly hash  and pecan egg  growing up i thought it was just normal candy but it s from the north shore  i only ever had it at easter but i m sure you can find it year round online  "","louisiana","south"
""we shipped community coffee in to iowa when we lived there for 3 and a half years  pralines are shipable  "","louisiana","south"
""for opelousas specifically  yoo hoo  if you re within driving distance  a few brownies from back in time might also be a fun treat  "","louisiana","south"
""cracklins from  the best stop  in lafayette  they also have smoked boudin  "","louisiana","south"
""cook her a gumbo  fix her a drink and play some swamp pop  sounds like a good night    "","louisiana","south"
""ask her about chief callier  "","louisiana","south"
""my parents live in opelousas  if she cooks you could get her a targil variety spice basket  or ship her some boudin or other smoked meat product from the area  other than food items  i can't really think of other gift type items that say  opelousas  unless you want to send her some crack    "","louisiana","south"
"" ray's boudin ships now   so does bourques in port barre  get her some jalapeno sausage bread   as someone else said  yoo hoo chocolate drink   and some dried gulf shrimp for dat gumbo  "","louisiana","south"
""hubigs pies "","louisiana","south"
""if you re not in louisiana  order her some tomys cascheres  "","louisiana","south"
""what s that boudin sausage shop on the other  west  side of baton rouge  somewhere along 49    in some speed trap town  anytime some of my military friends come in town they tend to pick up some boxes of that  "","louisiana","south"
""billy s boudin ships "","louisiana","south"
""if she drinks coffee  community coffee and or mello joy  "","louisiana","south"
""big shot soda  i grew up in new orleans in the 00s though  "","louisiana","south"
""definitely elmer s chee wees    wonderful family and snack  "","louisiana","south"
""that s actually smart  i m in charlotte and can t find it  i will fight whoever fooled me into thinking north carolina is southern  ‚ bojangles will fool me no more  "","louisiana","south"
""this is a good one  moved away years ago  and always make sure to keep jars of the good stuff in stock  "","louisiana","south"
""this is the one "","louisiana","south"
""came here to say this "","louisiana","south"
""yes  best stop ships  but it s expensive  "","louisiana","south"
""yeah we live in maine lol "","louisiana","south"
""mathilda i cried and cried for you  "","louisiana","south"
""my gumbo could never compete with hers lol  she can make roux from scratch  i can't "","louisiana","south"
""we always have a few cans of it in the house  goes on everything  walmart stocks tony's "","louisiana","south"
""came here to say this  tony chachere s is headquartered in opelousas and has a ton of gift baskets you can order  as for candy  walk into any cracker barrel country store  and have at it  "","louisiana","south"
""how dare y all drag that good woman up there     has she gotten used to the cold winters  "","louisiana","south"
""donne moi   donne moi   un autre chance  ahh yeah bring the peanut butter because i got the jam    "","louisiana","south"
""you can do it  practice makes perfect  you must strive for the passage of the wooden spoon     it is the way "","louisiana","south"
""you can  all it takes is patience "","louisiana","south"
""just remember that cajuns were from canada before they got kicked out and pushed down to louisiana  "","louisiana","south"
""and for hundreds of years  most of us chose to fight mosquitoes instead of moving north   ‚ "","louisiana","south"
""damn  not a drag queen  "","louisiana","south"
""dude is an absolute tool  the fact they let him plead down  and it won t appear on his record as an offense related to children is criminal in and of itself  "","louisiana","south"
""i know  right  man  that's wild   ” "","louisiana","south"
