comment,state_group,region
"comment","state_group","south"
""  gif  giphy l46cbcxpqnbdozxuk  "","mississippi","south"
""mississippi alcoholic beverage control  abc  is over distribution of wine and spirits in the state  if costco can t get a particular cognac  it s because abc won t give it to them for one reason or another  "","mississippi","south"
""the liquor store laws in mississippi are traditionally  socialist  in the worst way possible  you can only own one store at any time in the state and you buy from the actual state  who buys the alcohol  it's pretty disturbing  and you should call your state rep about it   https   www legislature ms gov legislators   use the term  socialist  even if you tend to fall on that spectrum  and encourage them to  de regulate  the market  "","mississippi","south"
""it's the way to get them on board  but these legislators have to feel the pressure  the truth is  most of them have one or fewer staffers in that building   they receive whatever you send  "","mississippi","south"
""as others said  distribution restrictions are the reason   "","mississippi","south"
""btw  even though we live in the land of freedom and small gubmint  one cannot order beer by mail in mississippi    even if said beer is  non alcoholic    "","mississippi","south"
"" meanwhile  my buddy in colorado can have weed delivered to his door  "","mississippi","south"
""the way alcohol works in mississippi is that abc orders alcohol  tax stamps it  then sells it to the distributors  it is an old  stupid system  so of course lawmakers won't touch it  "","mississippi","south"
""if you see a purple logo semitruck  ded  douglas express delivery  thats the freight carrier the state uses to deliver alcohol  "","mississippi","south"
""stores can request certain brands and flavors  but it is up to the overlords as to whether you get it or not   "","mississippi","south"
""and yes  i'm sure there is some kick back money from alcohol companies to whomever is in charge of ordering the alcohol  "","mississippi","south"
""this only covers spirits  as beer and other low proof drinks don't fall under that law  thays why you can buy beer and malt wine in the grocery store  "","mississippi","south"
""drive to mobile or new orleans for the cognac  order from new orleans  mobile online   usps doesn t care much if postage is paid "","mississippi","south"
""they probably have import licensing restrictions in mississippi "","mississippi","south"
""i feel compelled to say i went to bufallo trace distillery three times last week    "","mississippi","south"
""that bourbon cream and sazerac rye    "","mississippi","south"
""can you order it online from the costco website  i know that ms has relaxed the law for online alcohol sales don t know how relaxed though  "","mississippi","south"
""state laws  some states don t allow private brands as they need to be available to all buyers   at least how it was in texas  sucked because costco didn t sell their own labels in the stores  "","mississippi","south"
""also  welcome to the party  "","mississippi","south"
""as others have pointed out  it's probably because of state alcohol restrictions laws  "","mississippi","south"
""they probably found a loophole with the abc at first and now can no longer sell it  i don t believe any grocery stores can sell alcohol in the state  "","mississippi","south"
""lots of bad advice here   costco brand has always been rumored to be excess of major brands   when that brand runs out  they are back in line for what is produced next   it's why their tequila was out a few years ago  "","mississippi","south"
""the state allows shipping of non approved alcohol as long as it is sent to a licensed abc distributor    they in turn  sell it to you and the taxes are paid to the abc board    "","mississippi","south"
""if they don t want to import it for you  it is because it is a hassle    "","mississippi","south"
""find a friend to ship it to you directly   fedex will ship alcohol in a properly designed container  "","mississippi","south"
""my guess is alcohol content  states vary on allowed percentage  "","mississippi","south"
""more specifically stores within the state can only purchase what is imported into the state's warehouse  and directly from the warehouse  "","mississippi","south"
"" if the state isn't importing it  then it's not there for costco to purchase  and they can't go directly to the producer to buy it  "","mississippi","south"
""and just because it has kirkland on it  doesn't mean it's   costcos    it is some other congac producer who is putting it in the bottle   if costco was distilling it themselves  it would be different  "","mississippi","south"
""my husband works in memphis  so if i want to order wine from a winery i get it delivered to his office  "","mississippi","south"
""shoot you can get weed delivered to your hotel room in ny  dc  la and sf within 10 minutes of checking in   "","mississippi","south"
""allegedly  "","mississippi","south"
""stop  my wife doesn t need a roadtrip  ≠ "","mississippi","south"
""owned by sazerac    they produce a shitload of major liquors  "","mississippi","south"
""  nah  only  online  sales i ve seen so far are through doordash   "","mississippi","south"
"" moonshine ms  https   www moonshinems com      take a break  https   www takeabreakdeliveries com restaurants cuisine alcohol   and doordash "","mississippi","south"
""they ve got a  separate  liquor store next door  similar to how whole foods is set up  one building  2 separate entrances  plus you don t have to be a member to shop for alcohol   "","mississippi","south"
""you ve got me thinking though  i bet there was some kind of  initial stock  loophole they exploited  "","mississippi","south"
""yeah  i'd love to know more about this self import process as well  you have a link to applicable laws or an interview page  "","mississippi","south"
""how does the shipping to a licensed distributor process work  do you have a link to a regulation   "","mississippi","south"
""individuals can t ship alcohol  i know that much to be true  "","mississippi","south"
""costco owns a handful of distilleries  running alcohol through the state opens it up for everyone to sell it  abc will not  import   exclusively for a store  if they bring it in  its for sale to everyone "","mississippi","south"
""currently living on long island but from the sip and yes  we can get weed delivered to the door but you have to have a valid id with your birthdate on it  it s pretty nice actually just wish it wasn t so expensive here "","mississippi","south"
""yes   that's why we went  it is hard to find blanton's or e h  tayor here without paying almost double for it  we loaded up  "","mississippi","south"
""it was likely on the list or slipped through     "","mississippi","south"
""prior to ms raising the abv limit on beer from 6  to 10  you could get some over the limit beer if it was in one of those variety 12 packs    possibly still can  "","mississippi","south"
""costco does not own their own distilleries  "","mississippi","south"
